canonical_smiles,standard_value
[H]c1c([H])c([H])c2c3c1C(=O)N([H])N=C1c3c(n2[H])C([H])([H])N(C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1([H])[H],1.0
[H]c1c([H])c([H])c2c3c1C(=O)N([H])N=C1c3c(n2[H])C([H])([H])N(C(=O)C(N([H])[H])(C([H])([H])[H])C([H])([H])[H])C1([H])[H],1.0
[H]c1c([H])c([H])c2c(=O)n([H])nc3c2c1N([H])C1=C3C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C1([H])[H],1.0
[H]c1c([H])c([H])c2c(=O)n([H])nc3c2c1N([H])C1=C3C([H])([H])C([H])([H])C([H])([H])C1([H])[H],1.0
[H]c1c([H])c([H])c2c(=O)n([H])nc3c2c1N([H])C1=C3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],1.0
[H]c1c([H])c([H])c2c(=O)n([H])nc3c2c1N([H])C1=C3C([H])([H])C([H])([H])N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1([H])[H],1.0
[H]c1c([H])c([H])c2c(=O)n([H])nc3c2c1N([H])C1=C3C([H])([H])C([H])([H])N([H])C1([H])[H],1.0
[H]c1c([H])c(C([H])([H])N([H])C([H])([H])[H])c([H])c([H])c1-c1c2c3c(c([H])c(F)c([H])c3n1[H])C(=O)N([H])C([H])([H])C2([H])[H],1.0
[H]c1c([H])c([H])c2c(c1[H])c(=O)n([H])c1c([H])c([H])c(N([H])C(=O)C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c21,1.0
[H]c1nc(N2C([H])([H])[C@]([H])(C([H])([H])[H])N([H])[C@]([H])(C([H])([H])[H])C2([H])[H])c([H])c(C([H])([H])[H])c1-c1c([H])c([H])c(-c2nc3c(c([H])c([H])n3C([H])([H])[H])c(=O)n2[H])c([H])c1[H],1.0
[H]c1c([H])c(C(=O)N([H])[H])c2c(nc([C@]3(C([H])([H])[H])N([H])C([H])([H])C([H])([H])C3([H])[H])n2[H])c1[H],1.0
[H]OC(=O)C([H])([H])C([H])([H])c1nc2c(C([H])([H])[H])c([H])c([H])c([H])c2c(=O)n1[H],1.0
[H]OC(=O)C([H])([H])C([H])([H])c1nc(O[H])c2c([H])c([H])c([H])c([H])c2n1,1.0
[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1-c1nc2c(c(=O)n1[H])C(=O)SC([H])([H])C2([H])[H],1.0
[H]c1c([H])c([H])c2c(nc(C(=O)N([H])C3([H])C([H])([H])C([H])([H])N(C([H])([H])C(F)(F)F)C([H])([H])C3([H])[H])n2[H])c1C(=O)N([H])[H],1.0
[H]c1c([H])c([H])c2c(nc(C(=O)N([H])C3([H])C([H])([H])C([H])([H])N(C([H])([H])C4([H])C([H])([H])C4([H])[H])C([H])([H])C3([H])[H])n2[H])c1C(=O)N([H])[H],1.0
[H]c1c([H])c([H])c2c(nc(C(=O)N3C([H])([H])C([H])([H])C([H])(N([H])[H])C3([H])[H])n2[H])c1C(=O)N([H])[H],1.0
[H]c1c([H])c([H])c2c(nc(C(=O)N3C([H])([H])C([H])([H])C([H])(N([H])C([H])([H])C([H])([H])C([H])([H])[H])C3([H])[H])n2[H])c1C(=O)N([H])[H],1.0
[H]c1c([H])c([H])c2c(nc(C(=O)N3C([H])([H])C([H])([H])C([H])(N([H])C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C3([H])[H])n2[H])c1C(=O)N([H])[H],1.0
[H]c1c(F)c([H])c2c(nc(C(=O)N3C([H])([H])C([H])([H])C([H])(N([H])[H])C3([H])[H])n2[H])c1C(=O)N([H])[H],1.0
[H]c1c(F)c([H])c2c(nc(C(=O)N3C([H])([H])C([H])([H])C([H])(N([H])C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C3([H])[H])n2[H])c1C(=O)N([H])[H],1.0
[H]c1c(F)c([H])c2c(nc(C(=O)N3C([H])([H])C([H])([H])C([H])(N([H])[H])C([H])([H])C3([H])[H])n2[H])c1C(=O)N([H])[H],1.0
[H]c1c(F)c([H])c2c(nc(C(=O)N3C([H])([H])C([H])([H])C([H])(N([H])C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C([H])([H])C3([H])[H])n2[H])c1C(=O)N([H])[H],1.0
[H]ON([H])C(=O)C([H])([H])c1c([H])c([H])c(C([H])([H])N2C([H])([H])C([H])([H])N(C(=O)c3c([H])c(C([H])([H])c4nn([H])c(=O)c5c([H])c([H])c([H])c([H])c45)c([H])c([H])c3F)C([H])([H])C2([H])[H])c([H])c1[H],1.0
[H]ON([H])C(=O)c1c([H])c([H])c(C([H])([H])N2C([H])([H])C([H])([H])N(C(=O)c3c([H])c(C([H])([H])c4nn([H])c(=O)c5c([H])c([H])c([H])c([H])c45)c([H])c([H])c3F)C([H])([H])C2([H])[H])c([H])c1[H],1.0
[H]c1nc(F)c(N([H])C(=O)[C@]2([H])C([H])([H])N(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])c([H])c1C([H])([H])n1c(=O)n([H])c(=O)c2c([H])c([H])c([H])c([H])c21,1.0
[H]c1nc(F)c(N([H])C(=O)[C@]2([H])C([H])([H])N(C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])c([H])c1C([H])([H])n1c(=O)n([H])c(=O)c2c([H])c([H])c([H])c([H])c21,1.0
[H]c1nc(F)c(N([H])C(=O)[C@]2([H])C([H])([H])N(C(=O)C3([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c1C([H])([H])n1c(=O)n([H])c(=O)c2c([H])c([H])c([H])c([H])c21,1.0
[H]c1nc(F)c(N([H])C(=O)[C@]2([H])C([H])([H])N(C3([H])C([H])([H])C([H])([H])C(F)(F)C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c1C([H])([H])n1c(=O)n([H])c(=O)c2c([H])c([H])c([H])c([H])c21,1.0
[H]c1nc(F)c(N([H])C(=O)[C@]2([H])C([H])([H])N(C([H])([H])C([H])([H])C(F)(F)F)C([H])([H])C2([H])[H])c([H])c1C([H])([H])n1c(=O)n([H])c(=O)c2c([H])c([H])c([H])c([H])c21,1.0
