canonical_smiles,standard_value
[H]c1c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c([H])c1F,1.0
[H]Oc1c([H])c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c1O[H],1.0
[H]Oc1c([H])c([H])c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c1[H],1.0
[H]Oc1c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c([H])c3c(=O)c2[H])c([H])c1O[H],1.0
[H]Oc1c([H])c([H])c2c(=O)c([H])c(-c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])oc2c1[H],1.0
[H]Oc1c([H])c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c([H])c3c(=O)c2[H])c1[H],1.0
[H]Oc1c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c(O[H])c3c(=O)c2[H])c([H])c1O[H],0.0
[H]Oc1c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c(O[H])c3c(=O)c2[H])c([H])c1[H],0.0
[H]c1c([H])c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c1[H],1.0
[H]c1c([H])c([H])c(-c2c([H])c([H])c3c(C([H])([H])[H])c([H])c(=O)n([H])c3c2[H])c(F)c1[H],1.0
[H]C1=C([H])[C@@]2([H])C([H])([H])[C@]1([H])[C@]1([H])C(=O)N(c3c([H])c([H])c(C(=O)N([H])c4c([H])c([H])c([H])c5c([H])c([H])c([H])nc45)c([H])c3[H])C(=O)[C@@]12[H],1.0
[H]c1c([H])c([H])c(S(=O)(=O)N(c2c([H])c(Cl)c([H])c([H])c2OC([H])([H])[H])C([H])([H])C(=O)N([H])[C@]2([H])C([H])([H])C([H])([H])[C@@]([H])(n3c(=O)n([H])c4c([H])c([H])c([H])c([H])c43)C([H])([H])C2([H])[H])c([H])c1[H],1.0
[H]c1c([H])c([H])c([C@]2([H])N([C@]3([H])C([H])([H])C([H])([H])[C@@]([H])(n4c(=O)n([H])c5c(F)c(C#N)c([H])c([H])c54)C([H])([H])C3([H])[H])C(=O)OC2(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],1.0
[H]c1c([H])c([H])c([C@]2([H])N([C@]3([H])C([H])([H])C([H])([H])[C@@]([H])(n4c(=O)n([H])c5c([H])c(C#N)c(F)c([H])c54)C([H])([H])C3([H])[H])C(=O)OC2(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],1.0
[H]c1nc2c(c([H])c1C#N)n([H])c(=O)n2[C@]1([H])C([H])([H])C([H])([H])[C@@]([H])(N2C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[C@]2([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C1([H])[H],1.0
[H]c1c([H])c([H])c([C@]2([H])N([C@]3([H])C([H])([H])C([H])([H])[C@@]([H])(n4c(=O)n([H])c5c(C#N)c([H])c([H])c([H])c54)C([H])([H])C3([H])[H])C(=O)OC2(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],1.0
[H]c1c([H])c([H])c([C@]2([H])N([C@]3([H])C([H])([H])C([H])([H])[C@@]([H])(n4c(=O)n([H])c5c([H])c(C#N)c([H])c([H])c54)C([H])([H])C3([H])[H])C(=O)OC2(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],1.0
[H]c1nc([H])c2c(n1)n([C@]1([H])C([H])([H])C([H])([H])[C@@]([H])(N3C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[C@]3([H])c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C1([H])[H])c(=O)n2[H],1.0
[H]c1nc2c(c([H])c1[H])n([C@]1([H])C([H])([H])C([H])([H])[C@@]([H])(N3C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[C@]3([H])c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C1([H])[H])c(=O)n2[H],1.0
[H]c1nc([H])c2c(c1[H])n([C@]1([H])C([H])([H])C([H])([H])[C@@]([H])(N3C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[C@]3([H])c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C1([H])[H])c(=O)n2[H],1.0
[H]c1nc([H])c2c(c1[H])n([H])c(=O)n2[C@]1([H])C([H])([H])C([H])([H])[C@@]([H])(N2C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[C@]2([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C1([H])[H],1.0
[H]c1nc2c(c([H])c1[H])n([H])c(=O)n2[C@]1([H])C([H])([H])C([H])([H])[C@@]([H])(N2C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[C@]2([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C1([H])[H],1.0
[H]c1nc2c([H])c(F)c([H])nc2c(C(=O)N([H])[C@]2([H])C([H])([H])C([H])([H])[C@@]([H])(N3C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[C@]3([H])c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])c1[H],1.0
[H]c1nc2c(C(=O)N([H])[C@]3([H])C([H])([H])C([H])([H])[C@@]([H])(N4C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[C@]4([H])c4c([H])c([H])c([H])c([H])c4[H])C([H])([H])C3([H])[H])c([H])c([H])nc2c([H])c1[H],1.0
[H]c1nc2c(C(=O)N([H])[C@]3([H])C([H])([H])C([H])([H])[C@@]([H])(N4C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[C@]4([H])c4c([H])c([H])c([H])c([H])c4[H])C([H])([H])C3([H])[H])c([H])c([H])c([H])c2c([H])c1[H],1.0
[H]c1nc2c(N([H])C(=O)[C@]3([H])C([H])([H])C([H])([H])[C@@]([H])(N4C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[C@]4([H])c4c([H])c([H])c([H])c([H])c4[H])C([H])([H])C3([H])[H])c([H])c([H])c([H])c2c([H])c1[H],1.0
[H]c1nc2c(N([H])C(=O)c3c([H])c([H])c(N4C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[C@]4([H])c4c([H])c([H])c([H])c([H])c4[H])c([H])c3[H])c([H])c([H])nc2c([H])c1[H],1.0
[H]c1nc2c(N([H])C(=O)c3c([H])c([H])c(N4C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[C@]4([H])c4c([H])c([H])c([H])c([H])c4[H])c([H])c3[H])c([H])c([H])c([H])c2c([H])c1[H],1.0
[H]c1nc2c(N([H])C(=O)c3c([H])c([H])c(N4C(=O)OC([H])([H])[C@]4([H])c4c([H])c([H])c([H])c([H])c4[H])c([H])c3[H])c([H])c([H])c([H])c2c([H])c1[H],0.0
[H]c1nc2c(N([H])C(=O)c3c([H])c([H])c(N4C(=O)C([H])([H])C([H])([H])C4([H])c4c([H])c([H])c(F)c([H])c4[H])c([H])c3[H])c([H])c([H])c([H])c2c([H])c1[H],1.0
[H]c1nc2c(N([H])C(=O)c3c([H])c([H])c(N4C(=O)C([H])([H])C([H])([H])C4([H])c4c([H])c([H])c([H])c(F)c4[H])c([H])c3[H])c([H])c([H])c([H])c2c([H])c1[H],0.0
[H]c1nc2c(N([H])C(=O)c3c([H])c([H])c(N4C(=O)C([H])([H])C([H])([H])C4([H])c4c([H])c([H])c([H])c([H])c4F)c([H])c3[H])c([H])c([H])c([H])c2c([H])c1[H],0.0
[H]c1nc2c(N([H])C(=O)c3c([H])c([H])c(N4C(=O)C([H])([H])C([H])([H])C4(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])c([H])c([H])c([H])c2c([H])c1[H],0.0
[H]c1nc2c(N([H])C(=O)c3c([H])c([H])c(N4C(=O)C([H])([H])C([H])([H])[C@]4([H])c4c([H])c([H])c([H])c([H])c4[H])c([H])c3[H])c([H])c([H])c([H])c2c([H])c1[H],1.0
[H]c1nc2c(N([H])C(=O)c3c([H])c([H])c(N4C(=O)C([H])([H])C([H])([H])C4([H])c4c([H])c([H])c([H])c([H])c4[H])c([H])c3[H])c([H])c([H])c([H])c2c([H])c1[H],0.0
[H]C1=C([H])[C@@]2([H])C([H])([H])[C@]1([H])[C@@]1([H])C([H])([H])N(c3c([H])c([H])c(C(=O)N([H])c4c([H])c([H])c([H])c5c([H])c([H])c([H])nc45)c([H])c3[H])C(=O)[C@@]21[H],0.0
[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1-c1nc2c(c(=O)n1[H])C([H])([H])C([H])([H])OC2([H])[H],1.0
[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1-c1nc2c([H])c([H])c([H])c([H])c2c(=O)n1[H],1.0
[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1-c1nc2c(c(=O)n1[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],1.0
[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1C1=NC2([H])C([H])([H])SC([H])([H])C2([H])C(=O)N1[H],1.0
[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1-c1nc2c(c(=O)n1[H])SC([H])([H])C([H])([H])C2([H])[H],1.0
[H]c1c([H])c(C([H])([H])C([H])([H])C(=O)N([H])c2nnc3n2C([H])([H])C([H])([H])S3)c(Cl)c([H])c1Cl,1.0
[H]c1c([H])c(Cl)c(Cl)c(C([H])([H])C([H])([H])C(=O)N([H])c2nnc3n2C([H])([H])C([H])([H])S3)c1[H],1.0
[H]c1c([H])c(Cl)c(C([H])([H])C([H])([H])C(=O)N([H])c2nnc3n2C([H])([H])C([H])([H])S3)c(Cl)c1[H],1.0
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C(=O)N([H])c2nnc3n2C([H])([H])C([H])([H])S3)c(Cl)c1[H],1.0
[H]N(C(=O)C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])c1nnc2n1C([H])([H])C([H])([H])S2,1.0
[H]N(C(=O)C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])c1nnc2n1C([H])([H])C([H])([H])S2,1.0
[H]N(C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c1nnc2n1C([H])([H])C([H])([H])S2,1.0
[H]c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1C(=O)N([H])c1nnc2n1C([H])([H])C([H])([H])S2,1.0
[H]c1c([H])c(-c2nnnn2[H])c([H])c([H])c1-c1oc2c([H])c([H])c([H])c([H])c2c(=O)c1[H],1.0
[H]c1c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c([H])c1C(=O)OC([H])([H])C#N,1.0
[H]c1c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c([H])c1C#N,1.0
[H]c1c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c([H])c1C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H],1.0
[H]c1c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c([H])c1C(=O)OC([H])([H])[H],1.0
[H]c1c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c([H])c1C(=O)OC([H])([H])C([H])([H])[H],1.0
[H]c1c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c([H])c1OC([H])([H])[H],1.0
[H]c1c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1-c1oc2c([H])c([H])c([H])c([H])c2c(=O)c1[H],1.0
[H]c1c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1-c1oc2c([H])c([H])c([H])c([H])c2c(=O)c1[H],1.0
[H]c1c([H])c([N+](=O)[O-])c([H])c([H])c1-c1oc2c([H])c([H])c([H])c([H])c2c(=O)c1[H],1.0
[H]OC(=O)c1c([H])c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c1[H],1.0
[H]Oc1c([H])c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c1[H],1.0
[H]c1c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c([H])c1Br,1.0
[H]c1c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c([H])c1Cl,1.0
[H]c1c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c2c1OC([H])([H])O2,1.0
[H]c1c([H])c([H])c(-c2oc3c([H])c([H])c(Cl)c([H])c3c(=O)c2[H])c([H])c1[H],1.0
[H]c1c([H])c([H])c(-c2oc3c([H])c([H])c(F)c([H])c3c(=O)c2[H])c([H])c1[H],1.0
[H]C1=C([H])[C@@]2([H])C([H])([H])[C@]1([H])[C@@]1([H])C([H])([H])N(c3c([H])c([H])c(C(=O)N([H])c4c([H])c([H])c([H])c5c([H])c([H])c([H])nc45)c([H])c3[H])C([H])([H])[C@@]21[H],0.0
[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1-c1nc2c(c(=O)n1[H])C([H])([H])C([H])([H])SC2([H])[H],0.0
[H]c1c([H])c([H])c(-c2oc3c([H])c(OC([H])([H])[H])c([H])c([H])c3c(=O)c2[H])c([H])c1[H],0.0
[H]c1c([H])c([H])c(C([H])([H])OC(=O)N([H])C([H])([H])c2c([H])c([H])c(-c3nc4c(C([H])([H])[H])c([H])c([H])c([H])c4c(=O)n3[H])c([H])c2[H])c([H])c1[H],1.0
[H]Oc1c([H])c([H])c(-c2nc(O[H])c3c([H])c([H])c([H])c(C([H])([H])[H])c3n2)c([H])c1[H],1.0
