canonical_smiles,standard_value
[H]Oc1c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c([H])c3c(=O)c2[H])c([H])c1O[H],1.0
[H]Oc1c([H])c([H])c2c(=O)c([H])c(-c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])oc2c1[H],1.0
[H]Oc1c([H])c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c([H])c3c(=O)c2[H])c1[H],1.0
[H]Oc1c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c(O[H])c3c(=O)c2[H])c([H])c1O[H],0.0
[H]Oc1c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c(O[H])c3c(=O)c2[H])c([H])c1[H],0.0
[H]c1c([H])c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c1[H],1.0
[H]c1c([H])c(-c2c([H])c([H])c3c(C([H])([H])[H])c([H])c(=O)n([H])c3c2[H])c(Cl)c([H])c1C(=O)N([H])C([H])([H])C([H])([H])OC([H])([H])[H],1.0
[H]c1c([H])c(-c2c([H])c([H])c3c(C([H])([H])[H])c([H])c(=O)n([H])c3c2[H])c(Cl)c([H])c1C(=O)N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],1.0
[H]OC(=O)c1c([H])c([H])c(-c2c([H])c([H])c3c(C([H])([H])[H])c([H])c(=O)n([H])c3c2[H])c(Cl)c1[H],1.0
[H]c1c([H])c(N([H])[H])c([H])c(Cl)c1-c1c([H])c([H])c2c(C([H])([H])[H])c([H])c(=O)n([H])c2c1[H],1.0
[H]c1c([H])c([H])c(-c2c([H])c([H])c3c(C([H])([H])[H])c([H])c(=O)n([H])c3c2[H])c(OC([H])([H])[H])c1[H],0.0
[H]c1c([H])c([H])c(-c2c([H])c([H])c3c(C([H])([H])[H])c([H])c(=O)n([H])c3c2[H])c(Cl)c1[H],1.0
[H]c1c([H])c([H])c(-c2c([H])c([H])c3c(C([H])([H])[H])c([H])c(=O)n([H])c3c2[H])c(F)c1[H],1.0
[H]c1c([H])c(F)c([H])c(-c2c([H])c([H])c3c(C([H])([H])[H])c([H])c(=O)n([H])c3c2[H])c1[H],1.0
[H]c1c([H])c(-c2c([H])c([H])c3c(C([H])([H])[H])c([H])c(=O)n([H])c3c2[H])c([H])c([H])c1F,1.0
[H]c1c([H])c([H])c(-c2c([H])c([H])c3c(C([H])([H])[H])c([H])c(=O)n([H])c3c2[H])c([H])c1[H],1.0
[H]c1c([H])c([H])c2c(c1[H])c(C([H])([H])[H])c([H])c(=O)n2[H],0.0
[H]c1c([H])c(C(=O)C2([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N(C([H])([H])c3nc4c(c(=O)n3[H])C([H])([H])OC([H])([H])C4([H])[H])C([H])([H])C3([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1OC([H])([H])[H],1.0
[H]c1c([H])c(C(=O)C2([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N(C([H])([H])c3nc4c(c(=O)n3[H])C([H])([H])OC([H])([H])C4([H])[H])C([H])([H])C3([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1F,1.0
