canonical_smiles,standard_value
[H]c1c([H])c([H])c(Oc2c([H])c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])c([H])c2[H])c([H])c1[H],1.0
[H]c1c([H])c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n2c3c(c(=O)n([H])c2=O)C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H],1.0
[H]c1c([H])c(N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n1c2c(c(=O)n([H])c1=O)C([H])([H])SC([H])([H])C2([H])[H],1.0
[H]c1nc(N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])OC([H])([H])C4([H])[H])C([H])([H])C2([H])[H])nc([H])c1[H],1.0
[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])c2[H])c([H])c1[H],0.0
[H]c1nc([H])c(-c2c([H])c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])c([H])c2[H])c([H])n1,1.0
[H]c1nc(N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])C([H])([H])C2([H])[H])c(C(F)(F)F)c([H])c1[H],1.0
[H]c1nnc(N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],1.0
[H]c1nc(N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])C([H])([H])C2([H])[H])nc([H])c1[H],1.0
[H]c1c([H])c([H])c2c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])c([H])c([H])c2c1[H],1.0
[H]c1c([H])c([H])c2c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c([H])c([H])c2c1[H],1.0
[H]c1nc(N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])C([H])([H])C2([H])[H])nc([H])c1[H],1.0
[H]c1nc(N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])C([H])([H])C2([H])[H])nc([H])c1[H],1.0
[H]c1c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n2c3c(c(=O)n([H])c2=O)C([H])([H])SC([H])([H])C3([H])[H])c([H])c([H])c1OC([H])(F)F,1.0
[H]c1c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n2c3c(c(=O)n([H])c2=O)C([H])([H])SC([H])([H])C3([H])[H])c([H])c([H])c1Cl,1.0
[H]c1c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n2c3c(c(=O)n([H])c2=O)C([H])([H])SC([H])([H])C3([H])[H])c([H])c([H])c1OC([H])([H])[H],1.0
[H]c1nc(N2C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C([H])([H])C2([H])[H])nc([H])c1[H],0.0
[H]c1c([H])c([H])c2c([H])c(C(=O)C([H])([H])N(C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C([H])([H])[H])c([H])c([H])c2c1[H],1.0
Cl.Oc1nc2ccc(N3CCC(N4CCCC4)CC3)nc2c2ccccc12,1.0
O=C(O)C(F)(F)F.Oc1nc2ccc(N3C[C@H]4C[C@@H]3CN4)nc2c2ccccc12,1.0
[H]Oc1nc2c([H])c([H])nc([H])c2c2c([H])c([H])c([H])c([H])c12,1.0
[H]Oc1nc2c([H])c([H])c(N3C([H])([H])[C@]4([H])N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]3([H])C4([H])[H])nc2c2c([H])c([H])c([H])c([H])c12,1.0
[H]Oc1nc2c([H])c([H])c(N([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])nc2c2c([H])c([H])c([H])c([H])c12,1.0
CN(C)CC(=O)Nc1ccc2nc(O)c3ccccc3c2n1.Cl,1.0
Cl.O=C(CN1CCCCC1)Nc1ccc2nc(O)c3ccccc3c2n1,1.0
[H]c1nc([H])c(C(=O)N([H])[H])c([H])c1[H],0.0
[H]c1nc2c3c([H])c([H])c([H])c([H])c3c(=O)n([H])c2c([H])c1[H],1.0
[H]Oc1nc2c([H])c([H])c(N([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])nc2c2c([H])c([H])c([H])c([H])c12,1.0
Cl.O=C(CN1CCC(N2CCCC2)CC1)Nc1ccc2nc(O)c3ccccc3c2n1,1.0
Cl.O=C(CN1CCC(N2CCCC2)CC1)Nc1cnc2c(c1)nc(O)c1ccccc12,1.0
CS(=O)(=O)O.Oc1nc2ccc(N3CCNCC3)nc2c2ccccc12,1.0
[H]Oc1nc2c([H])c([H])c([H])c([H])c2c2nc([H])c([H])c([H])c12,0.0
[H]Oc1nc2c([H])c([H])c(N3C([H])([H])C([H])([H])[N+]([O-])(C([H])([H])[H])C([H])([H])C3([H])[H])nc2c2c([H])c([H])c([H])c([H])c12,1.0
[H]Oc1nc2c([H])c([H])c(N([H])[H])nc2c2c([H])c([H])c([H])c([H])c12,1.0
CN1C[C@H]2C[C@@H]1CN2c1ccc2nc(O)c3ccccc3c2n1.CS(=O)(=O)O,1.0
[H]Oc1nc2nc([H])c([H])c([H])c2c2c([H])c([H])c([H])c([H])c12,1.0
CC(C)N1CCN(CC(=O)Nc2ccc3nc(O)c4ccccc4c3n2)CC1.Cl,1.0
CS(=O)(=O)O.Oc1nc2ccc(N3CCN(CC4CC4)CC3)nc2c2ccccc12,1.0
[H]c1nc2c3c([H])c([H])c([H])c([H])c3c(=O)n([H])c2c([H])c1N([H])[H],1.0
Cl.O=C(CN1CCCCC1)Nc1cnc2c(c1)nc(O)c1ccccc12,1.0
CN(C)C1CCN(c2ccc3nc(O)c4ccccc4c3n2)CC1.CS(=O)(=O)O,1.0
[H]Oc1nc2c([H])c([H])c([H])c([H])c2c2c([H])c([H])c([H])nc12,0.0
CN(C)CC(=O)Nc1cnc2c(c1)nc(O)c1ccccc12.Cl,1.0
[H]c1c([H])c([H])c2c(c1[H])c(=O)n([H])c1c([H])c([H])c([H])c([H])c21,1.0
[H]Oc1nc2c([H])c([H])c([H])c([H])c2c2c([H])c([H])nc([H])c12,0.0
[H]Oc1nc2c([H])c([H])c(N3C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C3([H])[H])nc2c2c([H])c([H])c([H])c([H])c12,1.0
[H]c1c([H])c([H])c(C(=O)N([H])[H])c([H])c1[H],0.0
[H]Oc1nc2c([H])nc([H])c([H])c2c2c([H])c([H])c([H])c([H])c12,1.0
CC(C)N1CCN(CC(=O)Nc2cnc3c(c2)nc(O)c2ccccc23)CC1.Cl,1.0
[H]Oc1nc2c([H])c([H])c([N+](=O)[O-])c([H])c2c2c([H])c([H])c([H])c([H])c12,1.0
[H]c1c([H])c(C(=O)N([H])[H])c([H])c([H])c1Br,0.0
[H]Oc1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H],0.0
[H]Oc1c([H])c([H])c(C(=O)N([H])[H])c([H])c1[H],0.0
[H]c1c([H])c(C(=O)N([H])[H])c([H])c(C([H])([H])[H])c1[H],0.0
[H]c1c([H])c(C(=O)N([H])[H])c([H])c([H])c1F,0.0
[H]c1c([H])c(C(=O)N([H])[H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c1[H],0.0
[H]Oc1nc([H])c([H])c2c(O[H])c([H])c([H])c([H])c12,1.0
